"#","Malın adı","Barcode","Anbarda  sayı","Gəliş qiym. (azn)","Gəliş qiym. cəmi (azn)","Satış qiym.  (azn)","Topdan sat.  (azn)","Satış qiym.   cəmi (azn)","Şirkət","Mal qrupu","Anbar","Blok"
"69","KY-036 Touch sensor","00231","4","7","28","12","0","48","Digər","Sensorlar","Mağaza","202"
"70","KY-024 Linear Hall","00232","4","1","4","3","0","12","Digər","Sensorlar","Mağaza","202"
"71","KY-028 Digital Tempature","00233","3","11","33","18","0","54","Digər","Sensorlar","Mağaza","202"
"72","KY-026 Flame","00234","3","2","6","3.5","0","10.5","Digər","Sensorlar","Mağaza","202"
"73","KY-029 Mini Two Color","00235","4","3","12","6","0","24","Digər","Sensorlar","Mağaza","202"
"74","KY-032 Avoidance","00236","3","18","54","25","0","75","Digər","Sensorlar","Mağaza","202"
"75","KY-039 Heartbeat","00237","3","1","3","2","0","6","Digər","Sensorlar","Mağaza","202"
"76","KY-027 2PCS Light cup","00238","3","4","12","6","0","18","Digər","Sensorlar","Mağaza","202"
"77","KY-002 Shock","00239","4","1.5","6","3","0","12","Digər","Sensorlar","Mağaza","202"
"78","KY-011 Two Color","00240","4","6","24","8","0","32","Digər","Sensorlar","Mağaza","202"
"79","Linefollower sensor","00252","10","3","30","10","0","100","Shenzhen Mingjingda Technology","Sensorlar","Mağaza","303"
"80","sparkfun soil moisture sensor","00270","0","2","0","4","0","0","Aliexpress","Sensorlar","Mağaza","106"
"81","DHT11","00275","0","4.5","0","7","0","0","Digər","Sensorlar","Mağaza","0"
"82","IR remote controller and receiver","00276","0","3","0","5","0","0","Digər","Sensorlar","Mağaza","0"
"83","L293D Driver","00034","30","4","120","5","0","150","Shenzhen Mingjingda Technology","Matorlar və mator sürücüləri","Mağaza","103"
"84","L298N Driver","00035","38","2","76","5","0","190","Shenzhen Mingjingda Technology","Matorlar və mator sürücüləri","Mağaza","304"
"85","DC Motor Mini","00075","30","0.97","29.1","3","0","90","Shenzhen Mingjingda Technology","Matorlar və mator sürücüləri","Mağaza","103"
"86","MG90S Servo Motor 9g","00130","13","2.8","36.4","7","0","91","TEMU","Matorlar və mator sürücüləri","Mağaza","103"
"87","JGB37-520 DC Gear Motor 12V960RPM","00150","2","11","22","22","0","44","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"88","N20 Miniature DC Gearbox Motor","00151","17","4.6","78.2","10","0","170","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"89","Brushed DC Motor with 320A Driver","00154","3","38","114","48","0","144","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"90","TT Magnetic DC Gear Motor","00155","14","9","126","10","0","140","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"91","JGB37-520 DC Gear Motor 12V600RPM","00158","1","11","11","22","0","22","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"92","JGB37-520 DC Gear Motor 12V107RPM","00159","14","15","210","22","0","308","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"93","BotsCombat 12V296RPM motor","00160","0","24","0","39","0","0","TEMU","Matorlar və mator sürücüləri","Mağaza","304"
"94","BotsCombat 12V80RPM motor","00161","0","24","0","39","0","0","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"95","BotsCombat 12V2160RPM motor","00162","2","24","48","39","0","78","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"96","JGA25-370 12V620RPM DC Gear Motor","00163","28","7","196","20","0","560","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"97","JGA25-370 12V280RPM DC Gear Motor","00164","16","7","112","20","0","320","TEMU","Matorlar və mator sürücüləri","Mağaza","303"
"98","BTS7960 Driver","00165","10","7","70","16","0","160","TEMU","Matorlar və mator sürücüləri","Mağaza","304"
"99","320A RC Brushed ESC","00166","0","16","0","26","0","0","TEMU","Matorlar və mator sürücüləri","Mağaza","304"
"100","Bots Combat 12V98RPM motor","00173","13","24","312","50","0","650","Mehemmed Haciyev","Matorlar və mator sürücüləri","Mağaza","30"
